Tag	GSM257871	GSM257872	GSM257873	GSM257874
DGKE	5.82287033234777	5.79486030392584	5.87118817708654	5.91858420976481
DGKG	6.68885174386588	2.84170346871434	4.36513259345253	5.17319940649336
DGKH	7.44143368024743	7.12489674589295	6.69192493495221	7.14457667472868
DGKI	5.7415505793929	3.10809618460192	4.81564202901397	4.86965429482898
DGKQ	3.12083463818983	2.93737075970376	3.54257998870265	3.51379390708699
DGKZ	9.89976474764279	9.93220884532358	9.87416681704398	9.94077459853984
DGUOK	10.5944925664029	10.6282450253133	10.5631867368578	10.8997420937381
DHCR24	10.4640351521899	10.7641998349514	10.6816513043747	10.6377207247776
DHCR7	9.34164557469799	8.96846520495446	9.01397582142161	9.48432949477868
DHDDS	8.58827988794233	8.6703694517835	8.51233751839476	8.28179560091402
DHFR	10.3075992886464	10.2045833704266	10.2162608371651	10.0134203853103
DHODH	8.15026009941729	8.82114256510222	8.00412493904386	7.63401961924651
DHPS	10.0631119077439	10.054862040175	10.2024666987124	10.0181723541468
DHRS1	7.38403253304423	7.66988424500834	8.22087163779343	8.69034375760181
DHRS11	6.9248718725505	6.84699468696557	6.06518237625389	7.57661283257855
DHRS12	8.76906423272421	8.14326585471275	8.43299280260813	8.33275715626693
DHRS2	4.49383944144005	4.24210704221451	6.56512036190438	3.58719694678584
DHRS3	6.92989749194555	7.38474058729238	7.3437631221496	7.13435444038557
DHRS7	9.61246308540548	9.83788806783947	10.1170456422137	9.75515798212693
DHRS7B	9.03366801862846	9.11010480556713	8.84927998375748	8.90239621958826
DHRS9	7.47300756791617	6.35898870590265	7.62108481653902	8.22724048100602
DHTKD1	6.45367395598538	6.92885587756221	6.18765295385927	6.71542666996039
DHX15	13.3922503316056	13.0704966672792	13.4835386967922	13.2465164587049
